LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:29:20	0                 
Time	Ampl
-0.001560082	4.64939
-0.001559882	4.64939
-0.001559682	4.96937
-0.001559482	5.12937
-0.001559282	4.64939
-0.001559082	4.64939
-0.001558882	4.96937
-0.001558682	4.80938
-0.001558482	4.80938
-0.001558282	4.96937
-0.001558082	4.80938
-0.001557882	4.80938
-0.001557682	4.96937
-0.001557482	4.64939
-0.001557282	5.12937
-0.001557082	4.96937
-0.001556882	4.64939
-0.001556682	4.96937
-0.001556482	4.96937
-0.001556282	4.64939
-0.001556082	4.96937
-0.001555882	4.96937
-0.001555682	4.80938
-0.001555482	4.96937
-0.001555282	4.96937
-0.001555082	4.80938
-0.001554882	4.64939
-0.001554682	4.80938
-0.001554482	4.64939
-0.001554282	4.96937
-0.001554082	4.96937
-0.001553882	4.64939
-0.001553682	4.80938
-0.001553482	4.96937
-0.001553282	4.64939
-0.001553082	4.80938
-0.001552882	4.96937
-0.001552682	4.80938
-0.001552482	4.80938
-0.001552282	4.80938
-0.001552082	4.64939
-0.001551882	4.64939
-0.001551682	4.80938
-0.001551482	4.80938
-0.001551282	4.64939
-0.001551082	4.96937
-0.001550882	4.64939
-0.001550682	4.80938
-0.001550482	4.80938
-0.001550282	4.48939
-0.001550082	4.48939
-0.001549882	4.80938
-0.001549682	4.64939
-0.001549482	4.64939
-0.001549282	5.12937
-0.001549082	4.64939
-0.001548882	4.80938
-0.001548682	4.80938
-0.001548482	4.64939
-0.001548282	4.96937
-0.001548082	4.96937
-0.001547882	4.64939
-0.001547682	4.64939
-0.001547482	4.80938
-0.001547282	4.80938
-0.001547082	4.64939
-0.001546882	4.96937
-0.001546682	4.80938
-0.001546482	4.64939
-0.001546282	4.96937
-0.001546082	4.80938
-0.001545882	4.80938
-0.001545682	4.96937
-0.001545482	4.64939
-0.001545282	4.80938
-0.001545082	4.80938
-0.001544882	4.64939
-0.001544682	4.80938
-0.001544482	4.80938
-0.001544282	4.80938
-0.001544082	4.64939
-0.001543882	4.96937
-0.001543682	4.64939
-0.001543482	4.80938
-0.001543282	4.96937
-0.001543082	4.80938
-0.001542882	4.80938
-0.001542682	4.80938
-0.001542482	4.64939
-0.001542282	4.96937
-0.001542082	4.96937
-0.001541882	4.64939
-0.001541682	4.48939
-0.001541482	4.80938
-0.001541282	4.80938
-0.001541082	4.80938
-0.001540882	4.96937
-0.001540682	4.64939
-0.001540482	4.64939
-0.001540282	4.96937
-0.001540082	4.48939
-0.001539882	4.64939
-0.001539682	4.80938
-0.001539482	4.80938
-0.001539282	4.96937
-0.001539082	5.12937
-0.001538882	4.64939
-0.001538682	4.64939
-0.001538482	4.96937
-0.001538282	4.64939
-0.001538082	4.64939
-0.001537882	4.80938
-0.001537682	4.80938
-0.001537482	4.80938
-0.001537282	4.80938
-0.001537082	4.64939
-0.001536882	4.64939
-0.001536682	4.96937
-0.001536482	4.80938
-0.001536282	4.64939
-0.001536082	4.96937
-0.001535882	4.64939
-0.001535682	4.96937
-0.001535482	5.12937
-0.001535282	4.64939
-0.001535082	4.80938
-0.001534882	4.96937
-0.001534682	4.64939
-0.001534482	4.64939
-0.001534282	4.96937
-0.001534082	4.64939
-0.001533882	4.80938
-0.001533682	4.96937
-0.001533482	4.80938
-0.001533282	4.80938
-0.001533082	4.80938
-0.001532882	4.80938
-0.001532682	5.12937
-0.001532482	4.96937
-0.001532282	4.80938
-0.001532082	4.80938
-0.001531882	5.12937
-0.001531682	4.80938
-0.001531482	4.80938
-0.001531282	4.80938
-0.001531082	4.80938
-0.001530882	4.96937
-0.001530682	5.12937
-0.001530482	4.80938
-0.001530282	4.80938
-0.001530082	4.80938
-0.001529882	4.80938
-0.001529682	4.80938
-0.001529482	4.96937
-0.001529282	4.64939
-0.001529082	4.80938
-0.001528882	4.96937
-0.001528682	4.80938
-0.001528482	5.12937
-0.001528282	4.64939
-0.001528082	4.80938
-0.001527882	4.80938
-0.001527682	4.80938
-0.001527482	4.64939
-0.001527282	4.64939
-0.001527082	4.80938
-0.001526882	4.80938
-0.001526682	4.80938
-0.001526482	4.96937
-0.001526282	4.48939
-0.001526082	4.64939
-0.001525882	4.64939
-0.001525682	4.80938
-0.001525482	4.80938
-0.001525282	4.96937
-0.001525082	4.64939
-0.001524882	5.12937
-0.001524682	4.80938
