LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:26:48	0                 
Time	Ampl
-0.0040800042	0.00266809
-0.0040798042	0.0024761
-0.0040796042	0.00286009
-0.0040794042	0.00266809
-0.0040792042	0.00286009
-0.0040790042	0.00234811
-0.0040788042	0.00234811
-0.0040786042	0.00209212
-0.0040784042	0.00266809
-0.0040782042	0.00279609
-0.0040780042	0.00228411
-0.0040778042	0.00324407
-0.0040776042	0.00324407
-0.0040774042	0.00286009
-0.0040772042	0.00311608
-0.0040770042	0.00279609
-0.0040768042	0.00266809
-0.0040766042	0.0026041
-0.0040764042	0.00286009
-0.0040762042	0.0024761
-0.0040760042	0.00266809
-0.0040758042	0.00286009
-0.0040756042	0.00305208
-0.0040754042	0.00279609
-0.0040752042	0.0024121
-0.0040750042	0.00209212
-0.0040748042	0.00183613
-0.0040746042	0.0024761
-0.0040744042	0.00279609
-0.0040742042	0.00234811
-0.0040740042	0.00196412
-0.0040738042	0.00196412
-0.0040736042	0.00106815
-0.0040734042	0.00170813
-0.0040732042	0.00170813
-0.0040730042	0.00202812
-0.0040728042	0.00196412
-0.0040726042	0.0024121
-0.0040724042	0.00273209
-0.0040722042	0.0025401
-0.0040720042	0.00234811
-0.0040718042	0.00279609
-0.0040716042	0.00266809
-0.0040714042	0.00228411
-0.0040712042	0.00273209
-0.0040710042	0.00202812
-0.0040708042	0.00158014
-0.0040706042	0.0025401
-0.0040704042	0.00292408
-0.0040702042	0.00305208
-0.0040700042	0.00330807
-0.0040698042	0.00298808
-0.0040696042	0.00292408
-0.0040694042	0.00343606
-0.0040692042	0.00292408
-0.0040690042	0.00375605
-0.0040688042	0.00362806
-0.0040686042	0.00382005
-0.0040684042	0.00375605
-0.0040682042	0.00343606
-0.0040680042	0.00286009
-0.0040678042	0.00298808
-0.0040676042	0.00292408
-0.0040674042	0.00279609
-0.0040672042	0.00266809
-0.0040670042	0.00298808
-0.0040668042	0.0025401
-0.0040666042	0.00292408
-0.0040664042	0.00298808
-0.0040662042	0.00298808
-0.0040660042	0.00343606
-0.0040658042	0.00286009
-0.0040656042	0.00273209
-0.0040654042	0.00324407
-0.0040652042	0.00298808
-0.0040650042	0.00279609
-0.0040648042	0.00298808
-0.0040646042	0.00324407
-0.0040644042	0.00350006
-0.0040642042	0.00292408
-0.0040640042	0.00343606
-0.0040638042	0.00318007
-0.0040636042	0.00318007
-0.0040634042	0.00324407
-0.0040632042	0.00305208
-0.0040630042	0.00324407
-0.0040628042	0.00324407
-0.0040626042	0.00292408
-0.0040624042	0.00279609
-0.0040622042	0.00330807
-0.0040620042	0.0026041
-0.0040618042	0.0026041
-0.0040616042	0.00305208
-0.0040614042	0.00343606
-0.0040612042	0.00356406
-0.0040610042	0.00343606
-0.0040608042	0.00388405
-0.0040606042	0.00362806
-0.0040604042	0.00324407
-0.0040602042	0.00286009
-0.0040600042	0.00279609
-0.0040598042	0.00330807
-0.0040596042	0.00343606
-0.0040594042	0.00318007
-0.0040592042	0.00318007
-0.0040590042	0.00324407
-0.0040588042	0.00343606
-0.0040586042	0.00362806
-0.0040584042	0.00311608
-0.0040582042	0.00350006
-0.0040580042	0.00292408
-0.0040578042	0.00311608
-0.0040576042	0.00298808
-0.0040574042	0.00330807
-0.0040572042	0.00311608
-0.0040570042	0.00324407
-0.0040568042	0.00324407
-0.0040566042	0.00318007
-0.0040564042	0.00279609
