LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:25:05	0                 
Time	Ampl
-0.0040801378	4.64939
-0.0040799378	4.96937
-0.0040797378	4.64939
-0.0040795378	4.80938
-0.0040793378	4.96937
-0.0040791378	4.96937
-0.0040789378	4.80938
-0.0040787378	4.96937
-0.0040785378	4.80938
-0.0040783378	4.64939
-0.0040781378	4.80938
-0.0040779378	4.64939
-0.0040777378	4.80938
-0.0040775378	4.96937
-0.0040773378	4.48939
-0.0040771378	4.64939
-0.0040769378	4.80938
-0.0040767378	4.64939
-0.0040765378	4.80938
-0.0040763378	5.12937
-0.0040761378	4.64939
-0.0040759378	4.64939
-0.0040757378	5.12937
-0.0040755378	4.64939
-0.0040753378	4.80938
-0.0040751378	4.80938
-0.0040749378	4.64939
-0.0040747378	4.64939
-0.0040745378	4.96937
-0.0040743378	4.64939
-0.0040741378	4.80938
-0.0040739378	4.80938
-0.0040737378	4.80938
-0.0040735378	4.80938
-0.0040733378	4.80938
-0.0040731378	4.80938
-0.0040729378	4.80938
-0.0040727378	4.80938
-0.0040725378	4.96937
-0.0040723378	4.96937
-0.0040721378	4.96937
-0.0040719378	4.96937
-0.0040717378	4.80938
-0.0040715378	4.96937
-0.0040713378	4.80938
-0.0040711378	4.64939
-0.0040709378	4.96937
-0.0040707378	4.64939
-0.0040705378	4.64939
-0.0040703378	4.80938
-0.0040701378	4.64939
-0.0040699378	4.80938
-0.0040697378	4.96937
-0.0040695378	4.80938
-0.0040693378	4.96937
-0.0040691378	4.96937
-0.0040689378	4.48939
-0.0040687378	4.96937
-0.0040685378	4.96937
-0.0040683378	4.64939
-0.0040681378	4.80938
-0.0040679378	4.80938
-0.0040677378	4.80938
-0.0040675378	4.80938
-0.0040673378	4.96937
-0.0040671378	4.64939
-0.0040669378	5.12937
-0.0040667378	4.80938
-0.0040665378	4.80938
-0.0040663378	4.80938
-0.0040661378	4.80938
-0.0040659378	4.80938
-0.0040657378	4.64939
-0.0040655378	4.80938
-0.0040653378	4.64939
-0.0040651378	4.96937
-0.0040649378	4.96937
-0.0040647378	4.64939
-0.0040645378	4.96937
-0.0040643378	4.96937
-0.0040641378	4.64939
-0.0040639378	4.48939
-0.0040637378	4.80938
-0.0040635378	4.80938
-0.0040633378	4.96937
-0.0040631378	5.12937
-0.0040629378	4.64939
-0.0040627378	4.96937
-0.0040625378	4.80938
-0.0040623378	4.80938
-0.0040621378	4.64939
-0.0040619378	4.80938
-0.0040617378	4.96937
-0.0040615378	4.80938
-0.0040613378	5.12937
-0.0040611378	4.48939
-0.0040609378	4.64939
-0.0040607378	4.80938
-0.0040605378	4.64939
-0.0040603378	4.80938
-0.0040601378	4.80938
-0.0040599378	4.64939
-0.0040597378	4.96937
-0.0040595378	4.96937
-0.0040593378	4.64939
-0.0040591378	4.64939
-0.0040589378	4.80938
-0.0040587378	4.80938
-0.0040585378	4.80938
-0.0040583378	4.80938
-0.0040581378	4.80938
-0.0040579378	5.12937
-0.0040577378	4.80938
-0.0040575378	4.80938
-0.0040573378	4.96937
-0.0040571378	4.96937
-0.0040569378	4.80938
-0.0040567378	5.12937
-0.0040565378	4.96937
-0.0040563378	4.80938
-0.0040561378	4.80938
-0.0040559378	4.96937
-0.0040557378	4.64939
-0.0040555378	4.96937
-0.0040553378	4.80938
-0.0040551378	4.80938
-0.0040549378	4.80938
-0.0040547378	4.80938
-0.0040545378	4.80938
-0.0040543378	4.80938
-0.0040541378	4.80938
-0.0040539378	4.64939
-0.0040537378	4.64939
-0.0040535378	4.96937
-0.0040533378	4.80938
-0.0040531378	4.64939
-0.0040529378	4.96937
-0.0040527378	4.80938
-0.0040525378	4.80938
-0.0040523378	4.96937
-0.0040521378	4.96937
-0.0040519378	4.80938
-0.0040517378	4.96937
-0.0040515378	4.64939
-0.0040513378	4.80938
-0.0040511378	5.12937
-0.0040509378	4.80938
-0.0040507378	4.64939
-0.0040505378	4.96937
-0.0040503378	4.80938
-0.0040501378	4.64939
-0.0040499378	4.64939
-0.0040497378	4.64939
-0.0040495378	4.64939
-0.0040493378	4.80938
-0.0040491378	4.80938
