LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:27:42	0                 
Time	Ampl
-0.0040800876	4.64939
-0.0040798876	4.96937
-0.0040796876	4.80938
-0.0040794876	4.80938
-0.0040792876	4.96937
-0.0040790876	4.96937
-0.0040788876	4.64939
-0.0040786876	4.80938
-0.0040784876	4.96937
-0.0040782876	4.64939
-0.0040780876	4.64939
-0.0040778876	4.96937
-0.0040776876	4.64939
-0.0040774876	4.80938
-0.0040772876	4.80938
-0.0040770876	4.64939
-0.0040768876	5.12937
-0.0040766876	4.96937
-0.0040764876	4.80938
-0.0040762876	4.80938
-0.0040760876	4.80938
-0.0040758876	4.48939
-0.0040756876	4.64939
-0.0040754876	4.80938
-0.0040752876	4.80938
-0.0040750876	4.96937
-0.0040748876	4.80938
-0.0040746876	4.64939
-0.0040744876	4.96937
-0.0040742876	4.80938
-0.0040740876	4.80938
-0.0040738876	4.80938
-0.0040736876	4.80938
-0.0040734876	4.80938
-0.0040732876	4.64939
-0.0040730876	4.96937
-0.0040728876	4.64939
-0.0040726876	4.96937
-0.0040724876	4.96937
-0.0040722876	4.64939
-0.0040720876	4.96937
-0.0040718876	4.96937
-0.0040716876	4.64939
-0.0040714876	4.64939
-0.0040712876	5.12937
-0.0040710876	4.64939
-0.0040708876	4.64939
-0.0040706876	4.80938
-0.0040704876	4.80938
-0.0040702876	4.80938
-0.0040700876	4.80938
-0.0040698876	4.80938
-0.0040696876	4.96937
-0.0040694876	4.80938
-0.0040692876	4.80938
-0.0040690876	4.96937
-0.0040688876	4.96937
-0.0040686876	4.64939
-0.0040684876	4.64939
-0.0040682876	4.96937
-0.0040680876	4.80938
-0.0040678876	4.96937
-0.0040676876	4.96937
-0.0040674876	4.64939
-0.0040672876	4.64939
-0.0040670876	4.80938
-0.0040668876	4.64939
-0.0040666876	4.80938
-0.0040664876	4.96937
-0.0040662876	4.64939
-0.0040660876	4.64939
-0.0040658876	4.96937
-0.0040656876	4.80938
-0.0040654876	4.80938
-0.0040652876	5.12937
-0.0040650876	4.80938
-0.0040648876	4.64939
-0.0040646876	4.96937
-0.0040644876	4.64939
-0.0040642876	4.80938
-0.0040640876	4.96937
-0.0040638876	4.64939
-0.0040636876	4.80938
-0.0040634876	4.80938
-0.0040632876	4.80938
-0.0040630876	4.96937
-0.0040628876	4.96937
-0.0040626876	4.48939
-0.0040624876	4.96937
-0.0040622876	5.12937
-0.0040620876	4.80938
-0.0040618876	4.64939
-0.0040616876	4.80938
-0.0040614876	4.64939
-0.0040612876	4.96937
-0.0040610876	4.80938
-0.0040608876	4.80938
-0.0040606876	4.80938
-0.0040604876	4.80938
-0.0040602876	4.80938
-0.0040600876	4.80938
-0.0040598876	4.96937
-0.0040596876	4.64939
-0.0040594876	4.80938
-0.0040592876	4.96937
-0.0040590876	4.80938
-0.0040588876	4.64939
-0.0040586876	4.80938
-0.0040584876	4.64939
-0.0040582876	4.96937
-0.0040580876	4.96937
-0.0040578876	4.64939
-0.0040576876	4.64939
-0.0040574876	4.96937
-0.0040572876	4.64939
-0.0040570876	4.64939
-0.0040568876	4.96937
-0.0040566876	4.80938
-0.0040564876	4.96937
-0.0040562876	4.96937
-0.0040560876	4.64939
-0.0040558876	4.80938
-0.0040556876	4.80938
-0.0040554876	4.64939
-0.0040552876	4.64939
-0.0040550876	4.96937
-0.0040548876	4.48939
-0.0040546876	4.80938
-0.0040544876	4.96937
-0.0040542876	4.80938
-0.0040540876	4.80938
-0.0040538876	4.96937
-0.0040536876	4.80938
-0.0040534876	4.80938
-0.0040532876	4.80938
-0.0040530876	4.64939
-0.0040528876	4.80938
-0.0040526876	4.96937
-0.0040524876	4.80938
-0.0040522876	4.64939
-0.0040520876	4.96937
-0.0040518876	4.64939
-0.0040516876	4.80938
-0.0040514876	4.80938
-0.0040512876	4.64939
-0.0040510876	4.64939
-0.0040508876	4.96937
-0.0040506876	4.80938
-0.0040504876	4.96937
-0.0040502876	4.96937
-0.0040500876	4.64939
-0.0040498876	4.80938
-0.0040496876	5.12937
-0.0040494876	4.80938
-0.0040492876	4.64939
-0.0040490876	4.80938
-0.0040488876	4.80938
-0.0040486876	4.80938
-0.0040484876	4.64939
-0.0040482876	4.64939
-0.0040480876	4.96937
-0.0040478876	4.64939
-0.0040476876	4.64939
-0.0040474876	4.80938
-0.0040472876	4.80938
-0.0040470876	4.80938
-0.0040468876	4.96937
-0.0040466876	4.96937
-0.0040464876	4.80938
-0.0040462876	4.80938
-0.0040460876	4.80938
-0.0040458876	4.80938
-0.0040456876	4.80938
-0.0040454876	4.80938
-0.0040452876	4.64939
-0.0040450876	4.64939
-0.0040448876	4.96937
-0.0040446876	4.64939
-0.0040444876	4.64939
-0.0040442876	5.12937
-0.0040440876	4.80938
-0.0040438876	4.96937
-0.0040436876	4.80938
-0.0040434876	4.64939
-0.0040432876	4.80938
-0.0040430876	4.96937
-0.0040428876	4.64939
-0.0040426876	4.64939
-0.0040424876	4.80938
-0.0040422876	4.64939
-0.0040420876	4.64939
-0.0040418876	4.96937
-0.0040416876	4.64939
-0.0040414876	4.64939
-0.0040412876	4.96937
-0.0040410876	4.80938
-0.0040408876	4.80938
-0.0040406876	4.64939
-0.0040404876	4.64939
-0.0040402876	4.80938
-0.0040400876	4.80938
-0.0040398876	4.64939
-0.0040396876	4.80938
-0.0040394876	4.80938
-0.0040392876	4.80938
-0.0040390876	4.80938
-0.0040388876	4.96937
-0.0040386876	4.48939
-0.0040384876	4.80938
-0.0040382876	4.80938
-0.0040380876	4.96937
-0.0040378876	4.80938
-0.0040376876	4.80938
-0.0040374876	4.64939
-0.0040372876	4.64939
-0.0040370876	4.96937
-0.0040368876	4.64939
-0.0040366876	4.80938
-0.0040364876	4.96937
-0.0040362876	4.64939
-0.0040360876	4.80938
-0.0040358876	4.80938
-0.0040356876	4.80938
-0.0040354876	4.64939
-0.0040352876	4.80938
-0.0040350876	4.96937
-0.0040348876	4.64939
-0.0040346876	4.80938
-0.0040344876	4.80938
-0.0040342876	4.64939
-0.0040340876	4.64939
-0.0040338876	4.64939
-0.0040336876	4.96937
-0.0040334876	5.12937
-0.0040332876	4.64939
-0.0040330876	4.48939
-0.0040328876	4.96937
-0.0040326876	4.64939
-0.0040324876	4.80938
-0.0040322876	4.96937
-0.0040320876	4.80938
-0.0040318876	4.80938
-0.0040316876	4.96937
-0.0040314876	4.80938
-0.0040312876	4.80938
-0.0040310876	5.12937
-0.0040308876	4.80938
-0.0040306876	4.80938
-0.0040304876	4.80938
-0.0040302876	4.64939
-0.0040300876	4.80938
-0.0040298876	4.96937
-0.0040296876	4.64939
-0.0040294876	4.80938
-0.0040292876	4.96937
-0.0040290876	4.64939
-0.0040288876	4.80938
-0.0040286876	4.80938
-0.0040284876	4.80938
-0.0040282876	4.96937
-0.0040280876	4.96937
-0.0040278876	4.48939
-0.0040276876	4.80938
-0.0040274876	5.12937
-0.0040272876	4.96937
-0.0040270876	4.64939
-0.0040268876	4.96937
