LECROYWS24Xs	21529	Waveform
Segments	1	SegmentSize	100002
Segment	TrigTime	TimeSinceSegment1
#1	06-May-2025 17:26:48	0                 
Time	Ampl
-0.0040800042	4.64939
-0.0040798042	4.80938
-0.0040796042	4.80938
-0.0040794042	4.80938
-0.0040792042	4.96937
-0.0040790042	4.96937
-0.0040788042	4.80938
-0.0040786042	4.80938
-0.0040784042	5.12937
-0.0040782042	4.64939
-0.0040780042	4.80938
-0.0040778042	4.80938
-0.0040776042	4.80938
-0.0040774042	4.80938
-0.0040772042	4.96937
-0.0040770042	4.48939
-0.0040768042	4.80938
-0.0040766042	4.80938
-0.0040764042	4.64939
-0.0040762042	4.80938
-0.0040760042	4.80938
-0.0040758042	4.64939
-0.0040756042	4.64939
-0.0040754042	4.80938
-0.0040752042	4.80938
-0.0040750042	4.64939
-0.0040748042	4.80938
-0.0040746042	4.80938
-0.0040744042	4.64939
-0.0040742042	4.96937
-0.0040740042	4.80938
-0.0040738042	4.80938
-0.0040736042	4.80938
-0.0040734042	4.64939
-0.0040732042	4.64939
-0.0040730042	4.96937
-0.0040728042	4.64939
-0.0040726042	4.64939
-0.0040724042	4.80938
-0.0040722042	4.64939
-0.0040720042	4.80938
-0.0040718042	4.96937
-0.0040716042	4.80938
-0.0040714042	4.80938
-0.0040712042	4.96937
-0.0040710042	4.64939
-0.0040708042	4.80938
-0.0040706042	4.96937
-0.0040704042	4.64939
-0.0040702042	4.80938
-0.0040700042	4.96937
-0.0040698042	4.48939
-0.0040696042	4.80938
-0.0040694042	4.80938
-0.0040692042	4.64939
-0.0040690042	4.64939
-0.0040688042	4.96937
-0.0040686042	4.80938
-0.0040684042	4.80938
-0.0040682042	4.80938
-0.0040680042	4.48939
-0.0040678042	4.80938
-0.0040676042	4.96937
-0.0040674042	4.64939
-0.0040672042	4.64939
-0.0040670042	5.12937
-0.0040668042	4.80938
-0.0040666042	4.64939
-0.0040664042	4.96937
-0.0040662042	4.48939
-0.0040660042	4.80938
-0.0040658042	4.80938
-0.0040656042	4.80938
-0.0040654042	4.64939
-0.0040652042	4.96937
-0.0040650042	4.64939
-0.0040648042	4.64939
-0.0040646042	4.96937
-0.0040644042	4.48939
-0.0040642042	4.64939
-0.0040640042	4.96937
-0.0040638042	4.64939
-0.0040636042	4.64939
-0.0040634042	4.96937
-0.0040632042	4.80938
-0.0040630042	4.64939
-0.0040628042	4.96937
-0.0040626042	4.80938
-0.0040624042	4.80938
-0.0040622042	4.96937
-0.0040620042	4.80938
-0.0040618042	4.80938
-0.0040616042	5.12937
-0.0040614042	4.48939
-0.0040612042	4.80938
-0.0040610042	4.96937
-0.0040608042	4.64939
-0.0040606042	4.64939
-0.0040604042	4.64939
-0.0040602042	4.64939
-0.0040600042	4.80938
-0.0040598042	4.80938
-0.0040596042	4.80938
-0.0040594042	4.64939
-0.0040592042	4.96937
-0.0040590042	4.64939
-0.0040588042	4.64939
-0.0040586042	4.80938
-0.0040584042	4.48939
-0.0040582042	4.80938
-0.0040580042	4.80938
-0.0040578042	4.80938
-0.0040576042	5.12937
-0.0040574042	4.96937
-0.0040572042	4.80938
-0.0040570042	4.80938
-0.0040568042	5.12937
-0.0040566042	4.64939
-0.0040564042	4.96937
-0.0040562042	4.96937
-0.0040560042	4.80938
-0.0040558042	4.80938
-0.0040556042	4.96937
-0.0040554042	4.64939
-0.0040552042	4.64939
-0.0040550042	4.64939
-0.0040548042	4.64939
-0.0040546042	4.80938
-0.0040544042	4.80938
-0.0040542042	4.80938
-0.0040540042	4.64939
-0.0040538042	4.96937
-0.0040536042	4.96937
-0.0040534042	4.64939
-0.0040532042	4.96937
-0.0040530042	4.80938
-0.0040528042	4.80938
-0.0040526042	4.80938
-0.0040524042	4.96937
-0.0040522042	4.64939
-0.0040520042	4.80938
-0.0040518042	4.64939
-0.0040516042	4.64939
-0.0040514042	4.80938
-0.0040512042	4.80938
-0.0040510042	4.64939
-0.0040508042	4.80938
-0.0040506042	4.64939
-0.0040504042	4.64939
-0.0040502042	4.80938
-0.0040500042	4.64939
-0.0040498042	4.80938
-0.0040496042	4.96937
-0.0040494042	4.64939
-0.0040492042	4.80938
-0.0040490042	4.64939
-0.0040488042	4.80938
-0.0040486042	4.96937
-0.0040484042	4.96937
-0.0040482042	4.64939
-0.0040480042	4.64939
-0.0040478042	4.96937
-0.0040476042	4.64939
-0.0040474042	4.80938
-0.0040472042	4.96937
-0.0040470042	4.64939
-0.0040468042	4.80938
-0.0040466042	4.96937
-0.0040464042	4.64939
-0.0040462042	4.64939
-0.0040460042	5.12937
-0.0040458042	4.64939
-0.0040456042	4.80938
-0.0040454042	4.80938
-0.0040452042	4.80938
-0.0040450042	4.80938
-0.0040448042	4.96937
-0.0040446042	4.64939
-0.0040444042	4.80938
-0.0040442042	4.80938
-0.0040440042	4.64939
-0.0040438042	4.80938
-0.0040436042	5.12937
-0.0040434042	4.64939
-0.0040432042	4.96937
-0.0040430042	4.96937
-0.0040428042	4.80938
-0.0040426042	4.64939
-0.0040424042	4.96937
-0.0040422042	4.80938
-0.0040420042	4.64939
